#TYPE System.Management.PropertyData
"Name","Value","Type","IsLocal","IsArray","Origin","Qualifiers"
"LogExtFileHttpSubStatus","False","Boolean","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"LogExtFileMethod","True","Boolean","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"LogExtFileProtocolVersion","False","Boolean","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"LogExtFileReferer","False","Boolean","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"LogExtFileServerIp","False","Boolean","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"LogExtFileServerPort","False","Boolean","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"LogExtFileSiteName","False","Boolean","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"LogExtFileTime","True","Boolean","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"LogExtFileTimeTaken","False","Boolean","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"LogExtFileUriQuery","False","Boolean","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"LogExtFileUriStem","True","Boolean","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"LogExtFileUserAgent","False","Boolean","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"LogExtFileUserName","False","Boolean","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"LogExtFileWin32Status","False","Boolean","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"LogFileDirectory","C:\Windows\System32\LogFiles","String","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"LogFilePeriod","1","SInt32","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"LogFileTruncateSize","20480000","SInt32","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"LogOdbcDataSource","HTTPLOG","String","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"LogOdbcPassword","","String","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"LogOdbcTableName","InternetLog","String","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"LogOdbcUserName","InternetAdmin","String","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"LogPluginClsid","{FF160663-DE82-11CF-BC0A-00AA006111E0}","String","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"LogType","0","SInt32","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"MasqueradeDomain","","String","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"MaxBandwidth","-1","SInt32","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"MaxBatchedMessages","20","SInt32","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"MaxConnections","2000000000","SInt32","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"MaxDirChangeIOSize","-1","SInt32","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"MaxEndpointConnections","-1","SInt32","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"MaxMailObjects","-1","SInt32","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"MaxMessageSize","2097152","SInt32","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"MaxOutConnections","1000","SInt32","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"MaxOutConnectionsPerDomain","100","SInt32","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"MaxRecipients","100","SInt32","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"MaxSessionSize","10485760","SInt32","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"MaxSmtpErrors","20","SInt32","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"Name","SmtpSvc/1","String","True","False","IIsSetting","System.Management.QualifierDataCollection"
"NameResolutionType","-1","SInt32","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"NTAuthenticationProviders","GSSAPI,NTLM","String","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"PickupDirectory","C:\inetpub\mailroot\Pickup","String","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"QueueDirectory","C:\inetpub\mailroot\Queue","String","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"Realm","","String","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"RelayForAuth","1","SInt32","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"RelayIpList",,"UInt8","True","True","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"RemoteRetryAttempts","48","SInt32","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"RemoteRetryInterval","60","SInt32","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"RemoteSmtpPort","25","SInt32","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"RemoteSmtpSecurePort","465","SInt32","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"RemoteTimeout","600","SInt32","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"RouteAction","0","SInt32","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"RoutePassword","","String","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"RouteUserName","","String","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"RoutingDll","C:\Windows\System32\inetsrv\routeldp.dll","String","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"SaslLogonDomain","","String","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"SecureBindings","System.Management.ManagementBaseObject[]","Object","True","True","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"SendBadTo","Postmaster","String","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"SendNdrTo","","String","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"ServerAutoStart","True","Boolean","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"ServerBindings","System.Management.ManagementBaseObject[]","Object","True","True","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"ServerComment","","String","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"ServerListenBacklog","40","SInt32","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"ServerListenTimeout","120","SInt32","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"SettingID",,"String","False","False","CIM_Setting","System.Management.QualifierDataCollection"
"ShouldDeliver","False","Boolean","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"ShouldPickupMail","True","Boolean","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"ShouldPipelineIn","True","Boolean","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"ShouldPipelineOut","True","Boolean","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"SmartHost","121.123.gret","String","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"SmartHostType","0","SInt32","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"SmtpAqueueWait","-1","SInt32","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"SmtpAuthTimeout","0","SInt32","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"SmtpBdatTimeout","0","SInt32","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"SmtpClearTextProvider","","String","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"SmtpConnectTimeout","0","SInt32","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"SmtpDataTimeout","0","SInt32","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"SmtpDisableRelay","True","Boolean","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"SmtpDomainValidationFlags","-1","SInt32","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"SmtpDotStuffPickupDirFiles","True","Boolean","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"SmtpDSNLanguageID","0","SInt32","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
"SmtpDSNOptions","0","SInt32","True","False","IIsSmtpServerSetting","System.Management.QualifierDataCollection"
